product,usd_price,operative,price_type_id/id,information_date,
ACEFATE 97 WP,9.5,AGROTEC,competitiveness_management_x.Q,2012-04-03,4/3/2012
ACEFATE 97 WP,7.22,AGROTEC,competitiveness_management_x.E,2012-04-03,4/3/2012
ACEFATE 97 WP,13,AGROTEC,competitiveness_management_x.A,2012-04-03,4/3/2012
ACEFATE 97 WP,7.5,AGROTEC,competitiveness_management_x.U,2012-04-03,4/3/2012
ACEFATE 97 WP,7.5,AGROTEC,competitiveness_management_x.BP,2012-04-03,4/3/2012
AMETRINA 50 SC,4.1,AGROTEC,competitiveness_management_x.Q,2012-07-26,7/26/2012
AMETRINA 50 SC,7,AGROTEC,competitiveness_management_x.A,2012-07-26,7/26/2012
AMETRINA 50 SC,4.07,AGROTEC,competitiveness_management_x.U,2012-07-26,7/26/2012
AMETRINA 50 SC,3.15,AGROTEC,competitiveness_management_x.BP,2012-07-26,7/26/2012
ATRAZINA 90 WG,5.15,AGROTEC,competitiveness_management_x.E,2013-08-02,8/2/2013
ATRAZINA 90 WG,7.5,AGROTEC,competitiveness_management_x.A,2013-08-02,8/2/2013
ATRAZINA 90 WG,5.5,AGROTEC,competitiveness_management_x.U,2013-08-02,8/2/2013
ATRAZINA 90 WG,4.95,AGROTEC,competitiveness_management_x.BP,2013-08-02,8/2/2013
ATRAZINA 45 + SIMAZINA 45 WG,5.80,AGROTEC,competitiveness_management_x.Q,2013-07-25,7/25/2013
ATRAZINA 45 + SIMAZINA 45 WG,5.55,AGROTEC,competitiveness_management_x.SC,2013-07-25,7/25/2013
ATRAZINA 45 + SIMAZINA 45 WG,8.9,AGROTEC,competitiveness_management_x.A,2013-07-25,7/25/2013
ATRAZINA 45 + SIMAZINA 45 WG,5.6,AGROTEC,competitiveness_management_x.U,2013-07-25,7/25/2013
ATRAZINA 45 + SIMAZINA 45 WG,5.18,AGROTEC,competitiveness_management_x.BP,2013-07-25,7/25/2013
CLETODIM 24 EC,7.83,AGROTEC,competitiveness_management_x.Q,2013-03-28,3/28/2013
CLETODIM 24 EC,8.25,AGROTEC,competitiveness_management_x.SC,2013-03-28,3/28/2013
CLETODIM 24 EC,7.5,AGROTEC,competitiveness_management_x.E,2013-03-28,3/28/2013
CLETODIM 24 EC,13,AGROTEC,competitiveness_management_x.A,2013-03-28,3/28/2013
CLETODIM 24 EC,7.9,AGROTEC,competitiveness_management_x.U,2013-03-28,3/28/2013
CLETODIM 24 EC,8,AGROTEC,competitiveness_management_x.BP,2013-03-28,3/28/2013
FIPRONIL 25 FS,28,AGROTEC,competitiveness_management_x.Q,2012-03-31,3/31/2012
FIPRONIL 25 FS,27.89,AGROTEC,competitiveness_management_x.SC,2012-03-31,3/31/2012
FIPRONIL 25 FS,20,AGROTEC,competitiveness_management_x.E,2012-03-31,3/31/2012
FIPRONIL 25 FS,31.50,AGROTEC,competitiveness_management_x.A,2012-03-31,3/31/2012
FIPRONIL 25 FS,19.20,AGROTEC,competitiveness_management_x.U,2012-03-31,3/31/2012
FIPRONIL 25 FS,19.62,AGROTEC,competitiveness_management_x.BP,2012-03-31,3/31/2012
"GLIFOSATO 75,7 SG",4.85,AGROTEC,competitiveness_management_x.Q,2012-08-15,8/15/2012
"GLIFOSATO 75,7 SG",4.24,AGROTEC,competitiveness_management_x.E,2012-08-15,8/15/2012
"GLIFOSATO 75,7 SG",7.3,AGROTEC,competitiveness_management_x.A,2012-08-15,8/15/2012
"GLIFOSATO 75,7 SG",5.36,AGROTEC,competitiveness_management_x.U,2012-08-15,8/15/2012
"GLIFOSATO 75,7 SG",3.9,AGROTEC,competitiveness_management_x.BP,2012-08-15,8/15/2012
IMIDACLOPRIDO 35 SC,11,AGROTEC,competitiveness_management_x.Q,2012-09-12,9/12/2012
IMIDACLOPRIDO 35 SC,12.34,AGROTEC,competitiveness_management_x.E,2012-09-12,9/12/2012
IMIDACLOPRIDO 35 SC,15.5,AGROTEC,competitiveness_management_x.A,2012-09-12,9/12/2012
IMIDACLOPRIDO 35 SC,10.7,AGROTEC,competitiveness_management_x.U,2012-09-12,9/12/2012
IMIDACLOPRIDO 35 SC,7.45,AGROTEC,competitiveness_management_x.BP,2012-09-12,9/12/2012
IMIDACLOPRIDO 70 WS,20.3,AGROTEC,competitiveness_management_x.Q,2012-09-12,9/12/2012
IMIDACLOPRIDO 70 WS,18.41,AGROTEC,competitiveness_management_x.SC,2012-09-12,9/12/2012
IMIDACLOPRIDO 70 WS,16.76,AGROTEC,competitiveness_management_x.E,2012-09-12,9/12/2012
IMIDACLOPRIDO 70 WS,7.75,AGROTEC,competitiveness_management_x.A,2012-09-12,9/12/2012
IMIDACLOPRIDO 70 WS,13.83,AGROTEC,competitiveness_management_x.U,2012-09-12,9/12/2012
IMIDACLOPRIDO 70 WS,13.80,AGROTEC,competitiveness_management_x.BP,2012-09-12,9/12/2012
PARAQUATE 24 SL,2.26,AGROTEC,competitiveness_management_x.Q,2012-09-17,9/17/2012
PARAQUATE 24 SL,2.30,AGROTEC,competitiveness_management_x.SC,2012-09-17,9/17/2012
PARAQUATE 24 SL,1.63,AGROTEC,competitiveness_management_x.E,2012-09-17,9/17/2012
PARAQUATE 24 SL,3.30,AGROTEC,competitiveness_management_x.A,2012-09-17,9/17/2012
PARAQUATE 24 SL,2.12,AGROTEC,competitiveness_management_x.U,2012-09-17,9/17/2012
PARAQUATE 24 SL,2.10,AGROTEC,competitiveness_management_x.BP,2012-09-17,9/17/2012
TIODICARBE 35 SC,9.9,AGROTEC,competitiveness_management_x.Q,2012-09-17,9/17/2012
TIODICARBE 35 SC,9.5,AGROTEC,competitiveness_management_x.SC,2012-09-17,9/17/2012
TIODICARBE 35 SC,9.9,AGROTEC,competitiveness_management_x.E,2012-09-17,9/17/2012
TIODICARBE 35 SC,15,AGROTEC,competitiveness_management_x.A,2012-09-17,9/17/2012
TIODICARBE 35 SC,9.9,AGROTEC,competitiveness_management_x.U,2012-09-17,9/17/2012
TIODICARBE 35 SC,8.6,AGROTEC,competitiveness_management_x.BP,2012-09-17,9/17/2012
DIFLUBENZUROM 25 + LAMBDACIALOTRINA 10 WP,12,CAELUM,competitiveness_management_x.Q,2012-04-03,4/3/2012
DIFLUBENZUROM 25 + LAMBDACIALOTRINA 10 WP,15.10,CAELUM,competitiveness_management_x.SC,2012-04-03,4/3/2012
DIFLUBENZUROM 25 + LAMBDACIALOTRINA 10 WP,23,CAELUM,competitiveness_management_x.A,2012-04-03,4/3/2012
DIFLUBENZUROM 25 + LAMBDACIALOTRINA 10 WP,12.55,CAELUM,competitiveness_management_x.U,2012-04-03,4/3/2012
DIFLUBENZUROM 25 + LAMBDACIALOTRINA 10 WP,22,CAELUM,competitiveness_management_x.BP,2012-04-03,4/3/2012
FLUTRIAFOL 20 + CARBENDAZIM 50 WG,23.89,CAELUM,competitiveness_management_x.Q,2012-08-15,8/15/2012
FLUTRIAFOL 20 + CARBENDAZIM 50 WG,24.7,CAELUM,competitiveness_management_x.SC,2012-08-15,8/15/2012
FLUTRIAFOL 20 + CARBENDAZIM 50 WG,16,CAELUM,competitiveness_management_x.A,2012-08-15,8/15/2012
FLUTRIAFOL 20 + CARBENDAZIM 50 WG,9.4,CAELUM,competitiveness_management_x.U,2012-08-15,8/15/2012
FLUTRIAFOL 20 + CARBENDAZIM 50 WG,15,CAELUM,competitiveness_management_x.BP,2012-08-15,8/15/2012
TEBUCONAZOLE 43 SC,7.8,CAELUM,competitiveness_management_x.Q,2012-07-01,7/1/2012
TEBUCONAZOLE 43 SC,7.5,CAELUM,competitiveness_management_x.SC,2012-07-01,7/1/2012
TEBUCONAZOLE 43 SC,12,CAELUM,competitiveness_management_x.A,2012-07-01,7/1/2012
TEBUCONAZOLE 43 SC,6.82,CAELUM,competitiveness_management_x.U,2012-07-01,7/1/2012
TEBUCONAZOLE 43 SC,11,CAELUM,competitiveness_management_x.BP,2012-07-01,7/1/2012
LUFENUROM 5 EC,5.8,CAELUM,competitiveness_management_x.Q,2012-03-28,3/28/2012
LUFENUROM 5 EC,6,CAELUM,competitiveness_management_x.SC,2012-03-28,3/28/2012
